ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
410,,,ADMINISTRASJONSGEBYR,1,,visible,This is a variable product.,,,,,,1,,0,0,,,,,0,,,,Diverse,,,,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,
111,,,ANTIQUE DELUXE #2660GTX,1,,visible,This is a variable product.,11/22,,,,,1,1,0,0,31,,,,0,,,11900,Popcornmaskiner,,,,,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,
51,,,APPLE SETTERSTICKER #4006,1,,visible,This is a simple product.,11/12,,,,,1,8,0,0,0.5,,,,0,,,1740,Candy Apple tilbehør,,,,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
167,,,ARBEID/SERVICE,1,,visible,This is a simple product.,,,,,,1,,0,0,,,,,0,,,490,Diverse,,,,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
590,,,Astro Stjernedryss 40 stk.,1,,visible,This is a simple product.,,,,,,1,11,0,0,1.5,,,,0,,,155,Diverse Godteri,,,,,,,,,,,,0,Color,Red,1,1,,,,,1,,,,
112,,,ASTRO VARMESKAP #2004EX (BRUKT),1,,visible,This is a simple product.,NB. BRUKTE!,,,,,1,2,0,0,87.5,,,,0,,,24500,Popcornmaskiner,,,,,,,,,,,,0,,,,,,,,,1,,,,
501,,,ASTRO VARMESKAP DOBLE DØRER#2004SLDNX,1,,visible,This is a simple product.,"11/22
Skyvedør foran og svingdører bak.",,,,,1,1,0,0,87.5,,,,0,,,35000,Popcornmaskiner,,,,,,,,,,,,0,Color,Yellow,1,1,,,,,1,,,,
159,,,"Baconsnacks 4,8 kg.",1,,visible,This is a simple product.,Pris Mai 2023,,,,,1,216,0,0,6.1,,,,0,,,590,Snacks,,,,,,,,,,,,0,,,,,,,,,1,,,,
271,,,BACONSNACKS BEGER/RUND/500 STK.  80G/46OZ,1,,hidden,This is a simple product.,,,,,,1,49,0,0,11,,,,0,,,1137,Snack tilbehør,,,,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
272,,,BACONSNACKS BEGER/RUNDE/500 STK. 40G/24OZ,1,,visible,This is a simple product.,,,,,,1,50,0,0,7,,,,0,,,836,Snack tilbehør,,,,,,,,,,,,0,,,,,,,,,1,,,,
